step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
20,0,0.88,0.584,0.689,0.852,0.802,0.9375,1,0.011251211166381836,1,0.9375,1,0.3484072685241699,2,0.9375,50,1.3100357055664062,100,0.9,0.58,0.701,0.857,0.798,0.888,0.611,0.724,0.855,0.828,0.934,0.639,0.728,0.831,0.828,0.7672,0.78120005,0.792,0.7614,0.0,0.00700002908706665,0.0,0.0009999871253967285,0.004999995231628418,0.0026000022888183595,0.0009999871253967285,0.0,0.0,0.004999995231628418,0.0,0.0011999964714050292,0.007999956607818604,0.026000022888183594,0.018999993801116943,0.022000014781951904,0.02399998903274536,0.01979999542236328
21,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012004613876342773,1,0.90625,1,0.34081506729125977,2,0.90625,50,1.3162164688110352,100,0.9,0.58,0.702,0.857,0.798,0.89,0.612,0.726,0.856,0.828,0.946,0.636,0.728,0.824,0.794,0.76739997,0.7824,0.7856,0.7614,0.0,0.00700002908706665,0.0,0.0009999871253967285,0.004999995231628418,0.0026000022888183595,0.0,0.0,0.0,0.0040000081062316895,0.0,0.0008000016212463378,0.0,0.029000043869018555,0.018999993801116943,0.02899998426437378,0.05799996852874756,0.026999998092651366
22,0,0.88,0.584,0.689,0.852,0.802,0.84375,1,0.011717557907104492,1,0.84375,1,0.33723998069763184,2,1.0,50,1.3208911418914795,100,0.902,0.58,0.7,0.857,0.798,0.89,0.612,0.727,0.856,0.83,0.94,0.627,0.724,0.829,0.81,0.76739997,0.783,0.78599995,0.7614,0.0,0.00700002908706665,0.0020000338554382324,0.0009999871253967285,0.004999995231628418,0.003000009059906006,0.0,0.0,0.0,0.0040000081062316895,0.0,0.0008000016212463378,0.0059999823570251465,0.03800004720687866,0.023000001907348633,0.02399998903274536,0.041999995708465576,0.026600003242492676
23,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.011482715606689453,1,0.90625,1,0.3414914608001709,2,0.9375,50,1.3273091316223145,100,0.902,0.58,0.701,0.857,0.798,0.89,0.613,0.728,0.856,0.829,0.944,0.638,0.73,0.835,0.796,0.76759994,0.78319997,0.7886,0.7614,0.0,0.00700002908706665,0.001000046730041504,0.0009999871253967285,0.004999995231628418,0.0028000116348266602,0.0,0.0,0.0,0.0040000081062316895,0.0009999871253967285,0.0009999990463256836,0.001999974250793457,0.027000010013580322,0.01699995994567871,0.018000006675720215,0.0559999942779541,0.02399998903274536
24,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.011850118637084961,1,0.84375,1,0.32401394844055176,2,0.96875,50,1.3342578411102295,100,0.903,0.581,0.702,0.856,0.796,0.892,0.616,0.728,0.856,0.83,0.942,0.662,0.714,0.822,0.808,0.76759994,0.7844,0.7896,0.7614,0.0,0.006000041961669922,0.0,0.001999974250793457,0.006999969482421875,0.0029999971389770507,0.0,0.0,0.0,0.0040000081062316895,0.0,0.0008000016212463378,0.0040000081062316895,0.003000020980834961,0.03299999237060547,0.030999958515167236,0.04399996995925903,0.022999989986419677
25,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.011650800704956055,1,0.875,1,0.3239901065826416,2,0.9375,50,1.285383939743042,100,0.904,0.582,0.702,0.857,0.796,0.892,0.616,0.729,0.856,0.829,0.938,0.653,0.725,0.825,0.815,0.76820004,0.7844,0.79120004,0.7614,0.0,0.004999995231628418,0.0,0.0009999871253967285,0.006999969482421875,0.002599990367889404,0.0,0.0,0.0,0.0040000081062316895,0.0009999871253967285,0.0009999990463256836,0.007999956607818604,0.012000024318695068,0.02199995517730713,0.02799999713897705,0.03700000047683716,0.021399986743927003
26,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.01170039176940918,1,0.875,1,0.3187897205352783,2,0.9375,50,1.3982856273651123,100,0.905,0.582,0.702,0.856,0.796,0.892,0.616,0.731,0.856,0.829,0.945,0.638,0.73,0.824,0.812,0.76820004,0.7848,0.78980005,0.7614,0.0,0.004999995231628418,0.0,0.001999974250793457,0.006999969482421875,0.00279998779296875,0.0,0.0,0.0,0.0040000081062316895,0.0009999871253967285,0.0009999990463256836,0.0009999871253967285,0.027000010013580322,0.01699995994567871,0.02899998426437378,0.04000002145767212,0.022799992561340333
27,0,0.88,0.584,0.689,0.852,0.802,0.9375,1,0.011397838592529297,1,0.96875,1,0.3459665775299072,2,1.0,50,1.5721051692962646,100,0.906,0.582,0.704,0.856,0.798,0.891,0.616,0.732,0.856,0.83,0.94,0.646,0.732,0.824,0.83,0.76919997,0.78499997,0.7943999,0.7614,0.0,0.004999995231628418,0.0,0.001999974250793457,0.004999995231628418,0.0023999929428100584,0.001000046730041504,0.0,0.0,0.0040000081062316895,0.0,0.0010000109672546388,0.0059999823570251465,0.018999993801116943,0.014999985694885254,0.02899998426437378,0.022000014781951904,0.018199992179870606
28,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011949300765991211,1,0.9375,1,0.34865283966064453,2,0.96875,50,1.4541749954223633,100,0.906,0.584,0.704,0.855,0.798,0.892,0.62,0.732,0.858,0.831,0.94,0.665,0.736,0.816,0.814,0.7694,0.7866,0.79420006,0.7614,0.0,0.003000020980834961,0.0,0.0029999613761901855,0.004999995231628418,0.002199995517730713,0.0,0.0,0.0,0.0020000338554382324,0.0,0.0004000067710876465,0.0059999823570251465,0.0,0.010999977588653564,0.03700000047683716,0.03799998760223389,0.01839998960494995
29,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.01185750961303711,1,0.9375,1,0.3498516082763672,2,0.9375,50,1.440847635269165,100,0.906,0.582,0.705,0.854,0.798,0.892,0.62,0.734,0.858,0.835,0.946,0.652,0.736,0.81,0.816,0.76899993,0.7878,0.792,0.7614,0.0,0.004999995231628418,0.0,0.0040000081062316895,0.004999995231628418,0.002799999713897705,0.0,0.0,0.0,0.0020000338554382324,0.0,0.0004000067710876465,0.0,0.013000011444091797,0.010999977588653564,0.042999982833862305,0.03600001335144043,0.020599997043609618
